Country/Territory,CPI
New Zealand,9.462681
Denmark,9.39208
Finland,9.403927
Sweden,9.298488
Singapore,9.166839
Norway,8.989854
Netherlands,8.894497
Australia,8.844156
Switzerland,8.801674
Canada,8.672457
Luxembourg,8.50703
Hong Kong,8.389815
Iceland,8.274027
Germany,8.046144
Japan,8.0409
Austria,7.786903
Barbados,7.773902
United Kingdom,7.775084
Belgium,7.487431
Ireland,7.536039
Bahamas,7.289454
Chile,7.213856
Qatar,7.155269
United States,7.135683
France,7.005064
Saint Lucia,7.018194
Uruguay,7.04446
United Arab Emirates,6.822888
Estonia,6.353611
Cyprus,6.265644
Spain,6.2296
Botswana,6.077882
Portugal,6.097609
Taiwan,6.136312
Slovenia,5.870487
Israel,5.80688
Saint Vincent and the Grenadines,5.761158
Bhutan,5.742364
Malta,5.592464
Puerto Rico,5.586649
Cape Verde,5.524542
Poland,5.482418
Korea (South),5.356394
Brunei,5.207397
Dominica,5.17456
Bahrain,5.109879
Macau,5.110873
Mauritius,5.067148
Rwanda,4.983419
Costa Rica,4.798095
Lithuania,4.751965
Oman,4.834576
Seychelles,4.82171
Hungary,4.555448
Kuwait,4.616031
Jordan,4.485752
Czech Republic,4.368084
Namibia,4.42965
Saudi Arabia,4.386654
Malaysia,4.307416
Cuba,4.163939
Latvia,4.1943
Turkey,4.206861
Georgia,4.132969
South Africa,4.080277
Croatia,4.034245
Montenegro,3.969978
Slovakia,3.971617
Ghana,3.85076
Italy,3.906913
FYR Macedonia,3.942666
Samoa,3.879217
Brazil,3.77411
Tunisia,3.759299
China,3.635573
Romania,3.612146
Gambia,3.511906
Lesotho,3.516105
Vanuatu,3.529686
Colombia,3.446674
El Salvador,3.424892
Greece,3.388967
Morocco,3.443408
Peru,3.385607
Thailand,3.381004
Bulgaria,3.328966
Jamaica,3.341237
Panama,3.266199
Serbia,3.312795
Sri Lanka,3.295176
Bosnia and Herzegovina,3.207211
Liberia,3.188795
Trinidad and Tobago,3.170273
Zambia,3.195245
Albania,3.052946
India,3.099087
Kiribati,3.080074
Swaziland,3.081774
Tonga,3.139194
Argentina,2.996074
Benin,2.96985
Burkina Faso,3.046324
Djibouti,2.98107
Gabon,2.983002
Indonesia,3.02781
Madagascar,3.040804
Malawi,3.002285
Mexico,2.970855
Sao Tome & Principe,2.986329
Suriname,3.0286
Tanzania,2.950526
Algeria,2.904377
Egypt,2.862187
Kosovo,2.851413
Moldova,2.878946
Senegal,2.870529
Vietnam,2.864383
Bolivia,2.763231
Mali,2.758701
Bangladesh,2.656912
Ecuador,2.650216
Ethiopia,2.690912
Guatemala,2.727781
Iran,2.720371
Kazakhstan,2.693975
Mongolia,2.676712
Mozambique,2.687722
Solomon Islands,2.706382
Armenia,2.628996
Dominican Republic,2.589769
Honduras,2.591903
Philippines,2.644299
Syria,2.557818
Cameroon,2.452247
Eritrea,2.475597
Guyana,2.487627
Lebanon,2.486844
Maldives,2.470782
Nicaragua,2.529546
Niger,2.540459
Pakistan,2.467952
Sierra Leone,2.460909
Azerbaijan,2.375235
Belarus,2.418323
Comoros,2.410707
Mauritania,2.427348
Nigeria,2.449336
Russia,2.448757
Timor-Leste,2.376135
Togo,2.382138
Uganda,2.433897
Tajikistan,2.271689
Ukraine,2.296875
Central African Republic,2.210424
Congo  Republic,2.154337
Côte d´Ivoire,2.233704
Guinea-Bissau,2.201865
Kenya,2.24349
Laos,2.213967
Nepal,2.211227
Papua New Guinea,2.165489
Paraguay,2.217671
Zimbabwe,2.229767
Cambodia,2.110559
Guinea,2.110293
Kyrgyzstan,2.119878
Yemen,2.080347
Angola,2.005035
Chad,2.040463
Democratic Republic of the Congo ,2.021067
Libya,2.01449
Burundi,1.935236
Equatorial Guinea,1.912177
Venezuela,1.889497
Haiti,1.799883
Iraq,1.804128
Sudan,1.563758
Turkmenistan,1.603173
Uzbekistan,1.624563
Afghanistan,1.517093
Myanmar,1.490296
Korea (North),1.009626
Somalia,0.9834057
