"Jurisdiction","CPI"
"Finland",9.7
"New Zealand",9.6
"Denmark",9.5
"Iceland",9.5
"Singapore",9.3
"Sweden",9.2
"Switzerland",9.1
"Norway",8.9
"Australia",8.8
"Netherlands",8.7
"United Kingdom",8.6
"Canada",8.5
"Austria",8.4
"Luxembourg",8.4
"Germany",8.2
"Hong Kong",8
"Belgium",7.5
"Ireland",7.5
"USA",7.5
"Chile",7.4
"Barbados",7.3
"France",7.1
"Spain",7.1
"Japan",6.9
"Malta",6.8
"Israel",6.4
"Portugal",6.3
"Uruguay",6.2
"Oman",6.1
"United Arab Emirates",6.1
"Botswana",6
"Estonia",6
"Slovenia",6
"Bahrain",5.8
"Taiwan",5.6
"Cyprus",5.4
"Jordan",5.3
"Qatar",5.2
"Malaysia",5
"Tunisia",5
"Costa Rica",4.9
"Hungary",4.8
"Italy",4.8
"Kuwait",4.6
"Lithuania",4.6
"South Africa",4.6
"South Korea",4.5
"Seychelles",4.4
"Greece",4.3
"Suriname",4.3
"Czech Republic",4.2
"El Salvador",4.2
"Trinidad and Tobago",4.2
"Bulgaria",4.1
"Mauritius",4.1
"Namibia",4.1
"Latvia",4
"Slovakia",4
"Brazil",3.9
"Belize",3.8
"Colombia",3.8
"Cuba",3.7
"Panama",3.7
"Ghana",3.6
"Mexico",3.6
"Thailand",3.6
"Croatia",3.5
"Peru",3.5
"Poland",3.5
"Sri Lanka",3.5
"China",3.4
"Saudi Arabia",3.4
"Syria",3.4
"Belarus",3.3
"Gabon",3.3
"Jamaica",3.3
"Benin",3.2
"Egypt",3.2
"Mali",3.2
"Morocco",3.2
"Turkey",3.2
"Armenia",3.1
"Bosnia and Herzegovina",3.1
"Madagascar",3.1
"Mongolia",3
"Senegal",3
"Dominican Republic",2.9
"Iran",2.9
"Romania",2.9
"Gambia",2.8
"India",2.8
"Malawi",2.8
"Mozambique",2.8
"Nepal",2.8
"Russia",2.8
"Tanzania",2.8
"Algeria",2.7
"Lebanon",2.7
"Macedonia",2.7
"Nicaragua",2.7
"Serbia and Montenegro",2.7
"Eritrea",2.6
"Papua New Guinea",2.6
"Philippines",2.6
"Uganda",2.6
"Vietnam",2.6
"Zambia",2.6
"Albania",2.5
"Argentina",2.5
"Libya",2.5
"Palestinian Authority",2.5
"Ecuador",2.4
"Yemen",2.4
"Congo. Republic of",2.3
"Ethiopia",2.3
"Honduras",2.3
"Moldova",2.3
"Sierra Leone",2.3
"Uzbekistan",2.3
"Venezuela",2.3
"Zimbabwe",2.3
"Bolivia",2.2
"Guatemala",2.2
"Kazakhstan",2.2
"Kyrgyzstan",2.2
"Niger",2.2
"Sudan",2.2
"Ukraine",2.2
"Cameroon",2.1
"Iraq",2.1
"Kenya",2.1
"Pakistan",2.1
"Angola",2
"Congo. Democratic Republic",2
"Cote d´Ivoire",2
"Georgia",2
"Indonesia",2
"Tajikistan",2
"Turkmenistan",2
"Azerbaijan",1.9
"Paraguay",1.9
"Chad",1.7
"Myanmar",1.7
"Nigeria",1.6
"Bangladesh",1.5
"Haiti",1.5
