Jurisdiction,CPI
Denmark,9.3
New Zealand,9.3
Singapore,9.3
Finland,9.2
Sweden,9.2
Canada,8.9
Netherlands,8.8
Australia,8.7
Switzerland,8.7
Norway,8.6
Iceland,8.5
Luxembourg,8.5
Hong Kong,8.4
Ireland,8
Austria,7.9
Germany,7.9
Barbados,7.8
Japan,7.8
Qatar,7.7
United Kingdom,7.6
Chile,7.2
Belgium,7.1
United States,7.1
Uruguay,6.9
France,6.8
Estonia,6.5
Slovenia,6.4
Cyprus,6.3
United Arab Emirates,6.3
Israel,6.1
Spain,6.1
Portugal,6
Botswana,5.8
Puerto Rico,5.8
Taiwan,5.8
Bhutan,5.7
Malta,5.6
Brunei,5.5
Korea (South),5.4
Mauritius,5.4
Costa Rica,5.3
Oman,5.3
Poland,5.3
Dominica,5.2
Cape Verde,5.1
Lithuania,5
Macau,5
Bahrain,4.9
Seychelles,4.8
Hungary,4.7
Jordan,4.7
Saudi Arabia,4.7
Czech Republic,4.6
Kuwait,4.5
South Africa,4.5
Malaysia,4.4
Namibia,4.4
Turkey,4.4
Latvia,4.3
Slovakia,4.3
Tunisia,4.3
Croatia,4.1
FYR Macedonia,4.1
Ghana,4.1
Samoa,4.1
Rwanda,4
Italy,3.9
Georgia,3.8
Brazil,3.7
Cuba,3.7
Montenegro,3.7
Romania,3.7
Bulgaria,3.6
El Salvador,3.6
Panama,3.6
Trinidad and Tobago,3.6
Vanuatu,3.6
China,3.5
Colombia,3.5
Greece,3.5
Lesotho,3.5
Peru,3.5
Serbia,3.5
Thailand,3.5
Malawi,3.4
Morocco,3.4
Albania,3.3
India,3.3
Jamaica,3.3
Liberia,3.3
Bosnia and Herzegovina,3.2
Djibouti,3.2
Gambia,3.2
Guatemala,3.2
Kiribati,3.2
Sri Lanka,3.2
Swaziland,3.2
Burkina Faso,3.1
Egypt,3.1
Mexico,3.1
Dominican Republic,3
Sao Tome and Principe,3
Tonga,3
Zambia,3
Algeria,2.9
Argentina,2.9
Kazakhstan,2.9
Moldova,2.9
Senegal,2.9
Benin,2.8
Bolivia,2.8
Gabon,2.8
Indonesia,2.8
Kosovo,2.8
Solomon Islands,2.8
Ethiopia,2.7
Guyana,2.7
Mali,2.7
Mongolia,2.7
Mozambique,2.7
Tanzania,2.7
Vietnam,2.7
Armenia,2.6
Eritrea,2.6
Madagascar,2.6
Niger,2.6
Belarus,2.5
Ecuador,2.5
Lebanon,2.5
Nicaragua,2.5
Syria,2.5
Timor-Leste,2.5
Uganda,2.5
Azerbaijan,2.4
Bangladesh,2.4
Honduras,2.4
Nigeria,2.4
Philippines,2.4
Sierra Leone,2.4
Togo,2.4
Ukraine,2.4
Zimbabwe,2.4
Maldives,2.3
Mauritania,2.3
Pakistan,2.3
Cameroon,2.2
Côte d´Ivoire,2.2
Haiti,2.2
Iran,2.2
Libya,2.2
Nepal,2.2
Paraguay,2.2
Yemen,2.2
Cambodia,2.1
Central African Republic,2.1
Comoros,2.1
Congo-Brazzaville,2.1
Guinea-Bissau,2.1
Kenya,2.1
Laos,2.1
Papua New Guinea,2.1
Russia,2.1
Tajikistan,2.1
Democratic Republic of Congo,2
Guinea,2
Kyrgyzstan,2
Venezuela,2
Angola,1.9
Equatorial Guinea,1.9
Burundi,1.8
Chad,1.7
Sudan,1.6
Turkmenistan,1.6
Uzbekistan,1.6
Iraq,1.5
Afghanistan,1.4
Myanmar,1.4
Somalia,1.1
